"id","title","normalized_title","type","subtype","grade","is_event","is_personal","description","raw_response"
"15","👝 Мешок с ресурсами [III]","мешок с ресурсами","контейнер",NULL,"III","0","0","Увесистая котомка с ресурсами
Для использования: /use_bag_3

","📋 Страница ресурса

👝 Мешок с ресурсами [III]
Увесистая котомка с ресурсами
Для использования: /use_bag_3

Дроп c монстров:
👷🏼‍♂️Интендант Крикс🔸18 🏕Склад с припасами
🌳 Древень🔸19 🐾🍃Охотничьи угодья
🐺 Оборотень🔸20 🐾🍃Охотничьи угодья
👲🏾 Глава лагеря🔸20 ⛺️ Лагерь фанатиков
🥀 Дионея🔸22 🌿 Заросли
🧌 Леший🔸22 🐾🍃Охотничьи угодья
🦖 T.Rex🔸22 💦 Сквозь водопад
🦏 Rhino🔸22 🌿 Заросли
🦇 Летучая мышь🔸23 🗼 Маяк
🦄 Единорог🔸23 🐾🍃Охотничьи угодья
👺 Жрец🔸23 🔥Очаг сопротивления[III]
👾 Жрец🔸23 🔥Очаг сопротивления[III]
👹 Жрец🔸23 🔥Очаг сопротивления[III]
🐹 Лемминг🔸24 🗻 Заснеженная гора
🦌 Северный олень🔸25 🗻 Заснеженная гора
🦦 Морж🔸25 🗻 Заснеженная гора
🐈 Снежный барс🔸26 🗻 Заснеженная гора
🐺 Полярный волк🔸26 🗻 Заснеженная гора
🐬 Дельфин🔸27 🎣 Морской причал
🦞 Омар🔸27 🎣 Морской причал
👳🏿‍♂️ Гном начальник шахты🔸27 🧊⛏🧊Морозная шахта
🦕 Водяной монстр🔸28 🎣 Морской причал
👨🏿‍🦱 Воин дома 🔨Молота🔸28 🐻Медвежье ущелье[🔨]
🗿 Малый двимеритовый страж🔸28 ⛏Двимеритовый рудник[🧲]
👨🏿‍🏭 Воин дома Наковальни🧲🔸28 ⛏Двимеритовый рудник[🧲]"
"16","👝 Мешок с ресурсами [IV]","мешок с ресурсами","контейнер",NULL,"IV","0","0","Здоровенный мешок с ресурсами
Для использования: /use_bag_4

","📋 Страница ресурса

👝 Мешок с ресурсами [IV]
Здоровенный мешок с ресурсами
Для использования: /use_bag_4

Дроп c монстров:
⭕️ Аномалия🔸30 🛕 Башня исследований
☀️🦂 Песочный скорпион🔸30 🛕 Башня исследований
☀️🕷 Песочный паук🔸30 🛕 Башня исследований
☀️🦀 Песочный краб🔸30 🛕 Башня исследований
🍂 Засохшее дерево🔸30 🚧 🏺 Забытое хранилище
🐸🧟‍♂️ Слабый утопец🔸30 🛕 Башня исследований
🕸🧟‍♂️ Зомби-воин🔸30 🚧 🏺 Забытое хранилище
🕸🧟‍♂️ Зомби-пожиратель🔸30 🚧 🏺 Забытое хранилище
🐸🧟‍♂️ Сильный утопец🔸31 🛕 Башня исследований
🩸🐟 Зараженная пиранья🔸31 🌊⚓️ Прибрежные воды
🕸🧟‍♂️ Древний зомби🔸31 🚧 🏺 Забытое хранилище
🩸🐟 Яростная пиранья🔸31 🌊⚓️ Прибрежные воды
🩸🐟 Зараженная рыба🔸31 🌊⚓️ Прибрежные воды
👳🏾 Головорез🔸31 🗻 Ущелье головорезов
👳🏾 Головорез стрелок🔸31 🗻 Ущелье головорезов
🧞‍♀️ Джин грёз🔸32 🌌 Пещера грёз
👤 Дух заблудшего🔸32 ♾ Озеро пустоты
🦠👤 Дух убитого зараженного🔸32 ♾ Озеро пустоты
🧞‍♀️ Джин желаний🔸32 🌌 Пещера грёз
👳🏾 Главарь Нокс🔸32 🗻 Ущелье головорезов
🪓🐊 Зараженный воин🔸33 🍙 Тоннели
🦇 Агрессивная летучая мышь🔸33 🍙 Тоннели
🐛 Тоннельный червь🔸33 🍙 Тоннели
💧👤 Дух озера🔸33 ♾ Озеро пустоты
🐊🐾 Лазутчик🔸33 🏚 Заброшенный район"
"17","🎟 Сертификат смены ника","сертификат смены ника","документ",NULL,NULL,"0","0","Дает возможность изменить свое имя

","📋 Страница ресурса

🎟 Сертификат смены ника
Дает возможность изменить свое имя

Дроп c монстров:
😰 Призрак ребенка🔸11 🏯 Забытый Дворец"
"18","🎟 Сертификат смены расы","сертификат смены расы","документ",NULL,NULL,"0","0","Дает возможность изменения расы

","📋 Страница ресурса

🎟 Сертификат смены расы
Дает возможность изменения расы

Дроп c монстров:
👻 Полтергейст🔸13 🏯 Забытый Дворец"
"20","🎟 Сертификат cброса параметров","сертификат cброса параметров","документ",NULL,NULL,"0","0","Дает возможность сбросить 🧬 параметры игрока

","📋 Страница ресурса

🎟 Сертификат cброса параметров
Дает возможность сбросить 🧬 параметры игрока

Дроп c монстров:
⚔️ Клинки с заключенной душой🔸16 ⚜️ Арсенал под Циртой"
"21","💩 Карма","карма","прочее",NULL,NULL,"0","0","Высшие силы доставят наказание обидчикам.
(""💩"" Появится около его ника на 1 час и отнимет 10 здоровья)
Для использования: /use_p НикИгрока
Отправление анонимно.

","📋 Страница ресурса

💩 Карма
Высшие силы доставят наказание обидчикам.
(""💩"" Появится около его ника на 1 час и отнимет 10 здоровья)
Для использования: /use_p НикИгрока
Отправление анонимно.

Дроп c монстров:
🦍 Тролль🔸10 🏔 Перевал
👹 Прислужник🔸15 🔥Очаг сопротивления[II]
👺  Прислужник🔸15 🔥Очаг сопротивления[II]
👾 Прислужник🔸15 🔥Очаг сопротивления[II]
⚔️ Клинки с заключенной душой🔸16 ⚜️ Арсенал под Циртой
👨🏻‍🎤🗡  Человек грабитель🔸18 🏞Купеческий тракт
🧘🏽‍♀️ Глава лагеря🔸18 🏕 Лагерь фанатиков
👲🏾 Глава лагеря🔸20 ⛺️ Лагерь фанатиков
🧌 Леший🔸22 🐾🍃Охотничьи угодья
🦖 T.Rex🔸22 💦 Сквозь водопад
🍄 Мухомор🔸23 🌿 Заросли
👺 Жрец🔸23 🔥Очаг сопротивления[III]
👹 Жрец🔸23 🔥Очаг сопротивления[III]
👾 Жрец🔸23 🔥Очаг сопротивления[III]
🦄 Единорог🔸23 🐾🍃Охотничьи угодья
🐹 Лемминг🔸24 🗻 Заснеженная гора
🥾 Старый башмак🔸26 🎣 Морской причал
🦞 Омар🔸27 🎣 Морской причал
🐬 Дельфин🔸27 🎣 Морской причал
🦕 Водяной монстр🔸28 🎣 Морской причал
🐋 Серый кит🔸29 🌊 Суровые воды
🐳 Синий кит🔸29 🌊 Суровые воды
🦈 Мегалодон🔸29 🌊 Суровые воды"
"22","📢 Рупор","рупор","прочее",NULL,NULL,"0","0","Позволяет вам отправить свое сообщение в ""📰 Хронику""

","📋 Страница ресурса

📢 Рупор
Позволяет вам отправить свое сообщение в ""📰 Хронику""

Дроп c монстров:
🦍 Тролль🔸10 🏔 Перевал
⚔️ Клинки с заключенной душой🔸16 ⚜️ Арсенал под Циртой
👨🏻‍🎤🗡  Человек грабитель🔸18 🏞Купеческий тракт
🧘🏽‍♀️ Глава лагеря🔸18 🏕 Лагерь фанатиков
👲🏾 Глава лагеря🔸20 ⛺️ Лагерь фанатиков
🦖 T.Rex🔸22 💦 Сквозь водопад
🧌 Леший🔸22 🐾🍃Охотничьи угодья
🦄 Единорог🔸23 🐾🍃Охотничьи угодья
🥾 Старый башмак🔸26 🎣 Морской причал
☃️ Снежное нечто🔸27 ❄️ Морозная пустошь
🦕 Водяной монстр🔸28 🎣 Морской причал
🐳 Синий кит🔸29 🌊 Суровые воды
🦈 Мегалодон🔸29 🌊 Суровые воды
🐋 Серый кит🔸29 🌊 Суровые воды"
"23","🏷 Табличка после смерти","табличка после смерти","прочее",NULL,NULL,"0","0","Эвентовая","📋 Страница ресурса

🏷 Табличка после смерти
Эвентовая"
"24","🏷 Табличка после убийства","табличка после убийства","прочее",NULL,NULL,"0","0","Эвентовая","📋 Страница ресурса

🏷 Табличка после убийства
Эвентовая"
"25","🌡 Эликсир здоровья +100%","эликсир здоровья +100%","зелье",NULL,NULL,"0","0","Восстанавливает ❤️ 100% хп
Для использования: /use_great_hp

","📋 Страница ресурса

🌡 Эликсир здоровья +100%
Восстанавливает ❤️ 100% хп
Для использования: /use_great_hp

Дроп c монстров:
🐚 Пресная ракушка🔸26 🏖 Побережье"
"28","🔖 Безопасный свиток заточки [I]","безопасный свиток заточки","прочее",NULL,"I","0","0","При неудаче сбрасывает заточку до 0, сохраняя вещь целой.
Используется для заточки предмета грейда [I].","📋 Страница ресурса

🔖 Безопасный свиток заточки [I]
При неудаче сбрасывает заточку до 0, сохраняя вещь целой.
Используется для заточки предмета грейда [I]."
"29","🔖 Безопасный свиток заточки [III]","безопасный свиток заточки","прочее",NULL,"III","0","0","При неудаче сбрасывает заточку до 0, сохраняя вещь целой.
Используется для заточки предмета грейда [III]

","📋 Страница ресурса

🔖 Безопасный свиток заточки [III]
При неудаче сбрасывает заточку до 0, сохраняя вещь целой.
Используется для заточки предмета грейда [III]

Дроп c монстров:
🐙 Ламещуп🔸22 🌋 Пещера Нумеадора
🐙 Ламещуп🔸27 🌋 Пещера Нумеадора"
"30","🔖 Безопасный свиток заточки [IV]","безопасный свиток заточки","прочее",NULL,"IV","0","0","При неудаче сбрасывает заточку до 0, сохраняя вещь целой.
Используется для заточки предмета грейда [IV]

","📋 Страница ресурса

🔖 Безопасный свиток заточки [IV]
При неудаче сбрасывает заточку до 0, сохраняя вещь целой.
Используется для заточки предмета грейда [IV]

Дроп c монстров:
🐙 Ламещуп🔸33 🌋 Пещера Нумеадора
😈Чудище из разлома🔸35 Test PVP"
"31","🔖 Безопасный свиток заточки [II]","безопасный свиток заточки","прочее",NULL,"II","0","0","При неудаче сбрасывает заточку до 0, сохраняя вещь целой.
Используется для заточки предмета грейда [II]

","📋 Страница ресурса

🔖 Безопасный свиток заточки [II]
При неудаче сбрасывает заточку до 0, сохраняя вещь целой.
Используется для заточки предмета грейда [II]

Дроп c монстров:
🐙 Ламещуп🔸17 🌋 Пещера Нумеадора"
"32","💚 Бонус регенерации 24ч","бонус регенерации 24ч","прочее",NULL,NULL,"0","0","Увеличивает скорость регенерации здоровья на 50%.
Время действия: 24 часа
Для использования: /use_regen24

","📋 Страница ресурса

💚 Бонус регенерации 24ч
Увеличивает скорость регенерации здоровья на 50%.
Время действия: 24 часа
Для использования: /use_regen24

Дроп c монстров:
🌪Дух Вьюги🔸27 🏰Зал Вьюги"
"33","🌟 Личный премиум 24ч","личный премиум 24ч","премиум",NULL,NULL,"0","1","Дает премиум статус для комфортного и быстрого развития на 24ч
➕ 40% к опыту за убийство монстров
➕ 20% к золоту с монстров
➕ 20% к шансу дропа вещей с монстра
➕ 4 дополнительных слота сохранения биндов, 2 дополнительных слота пресетов
➕ Доступ к 🌽 Ферме из любой точки мираДля использования: /use_prem24

","📋 Страница ресурса

🌟 Личный премиум 24ч
Дает премиум статус для комфортного и быстрого развития на 24ч
➕ 40% к опыту за убийство монстров
➕ 20% к золоту с монстров
➕ 20% к шансу дропа вещей с монстра
➕ 4 дополнительных слота сохранения биндов, 2 дополнительных слота пресетов
➕ Доступ к 🌽 Ферме из любой точки мира
* Предмет нельзя передать
Для использования: /use_prem24

Дроп c монстров:
⚔️ Клинки с заключенной душой🔸16 ⚜️ Арсенал под Циртой"
"34","💚 Личный бонус регенерации 24ч","личный бонус регенерации 24ч","прочее",NULL,NULL,"0","1","Увеличивает скорость регенерации здоровья на 50%.
Время действия: 24 часаДля использования: /use_reg24

","📋 Страница ресурса

💚 Личный бонус регенерации 24ч
Увеличивает скорость регенерации здоровья на 50%.
Время действия: 24 часа
* Предмет нельзя передать
Для использования: /use_reg24

Дроп c монстров:
🐵🙉 Стая гоблинов🔸8 🏔 Перевал
🧥 Доспехи с заключенной душой🔸14 ⚜️ Арсенал под Циртой
🦄 Единорог🔸23 🐾🍃Охотничьи угодья
🐠 Рыба ангел🔸23 🛶 Лодочная станция"
"36","🌟 Премиум 30 дней","премиум 30 дней","премиум",NULL,NULL,"0","0","Дает премиум статус для комфортного и быстрого развития на 30 дней
➕ 40% к опыту за убийство монстров
➕ 20% к золоту с монстров
➕ 20% к шансу дропа вещей с монстра
➕ 4 дополнительных слота сохранения биндов, 2 дополнительных слота пресетов
➕ Доступ к 🌽 Ферме из любой точки мира
Для использования: /use_prem30","📋 Страница ресурса

🌟 Премиум 30 дней
Дает премиум статус для комфортного и быстрого развития на 30 дней
➕ 40% к опыту за убийство монстров
➕ 20% к золоту с монстров
➕ 20% к шансу дропа вещей с монстра
➕ 4 дополнительных слота сохранения биндов, 2 дополнительных слота пресетов
➕ Доступ к 🌽 Ферме из любой точки мира
Для использования: /use_prem30"
"37","👛 Запас наемника","запас наемника","контейнер",NULL,NULL,"0","0","В запасе наемника можно найти:

💟 Талант - Блестящие латы
💟 Талант - Закалка
💟 Талант - Оракул
💟 Талант - Орлиный глаз
💟 Талант Золотая антилопа
🍞 Корка хлеба [II] 24ч
💚 Бонус регенерации 24ч
🌟 Личный премиум 24ч
💝 Комплимент
💩 Карма
🔖 Свиток удачи
🍪 Печенька
🛑 Философский камень
🌡 Эликсир здоровья +100%
🌡 Зелье [II] +2 сил. (1-3 ч)
🌡 Зелье [II] +2 вын. (1-3 ч)
🌡 Зелье [II] +2 инт. (1-3 ч)
🌡 Зелье [II] +2 лов. (1-3 ч)
🌡 Зелье [I] +1 сил. (1-3 ч)
🌡 Зелье [I] +1 вын. (1-3 ч)
🌡 Зелье [I] +1 инт. (1-3 ч)
🌡 Зелье [I] +1 лов. (1-3 ч)
🔖 Безопасный свиток заточки [II]
🔖 Безопасный свиток заточки [III]

Для использования: /use_goodbox","📋 Страница ресурса

👛 Запас наемника
В запасе наемника можно найти:

💟 Талант - Блестящие латы
💟 Талант - Закалка
💟 Талант - Оракул
💟 Талант - Орлиный глаз
💟 Талант Золотая антилопа
🍞 Корка хлеба [II] 24ч
💚 Бонус регенерации 24ч
🌟 Личный премиум 24ч
💝 Комплимент
💩 Карма
🔖 Свиток удачи
🍪 Печенька
🛑 Философский камень
🌡 Эликсир здоровья +100%
🌡 Зелье [II] +2 сил. (1-3 ч)
🌡 Зелье [II] +2 вын. (1-3 ч)
🌡 Зелье [II] +2 инт. (1-3 ч)
🌡 Зелье [II] +2 лов. (1-3 ч)
🌡 Зелье [I] +1 сил. (1-3 ч)
🌡 Зелье [I] +1 вын. (1-3 ч)
🌡 Зелье [I] +1 инт. (1-3 ч)
🌡 Зелье [I] +1 лов. (1-3 ч)
🔖 Безопасный свиток заточки [II]
🔖 Безопасный свиток заточки [III]

Для использования: /use_goodbox"
"38","💼 Торба наемника","торба наемника","контейнер",NULL,NULL,"0","0","В торбе наемника можно найти:

📐🎭 Чертеж наемника [II]
📐🎭 Чертеж экипировки [III]
📐🎭 Чертеж одноручного оружия [III]
📐🎭 Чертеж двуручного оружия [III]
🌂 Компас
🌂 Кожаный пояс
🌂 Золотые серьги
💟 Талант - Блестящие латы
💟 Талант - Закалка
💟 Талант Золотая антилопа
🍞 Корка хлеба [II] 24ч
💚 Бонус регенерации 24ч
🌟 Личный премиум 24ч
💝 Комплимент
💩 Карма
🔖 Свиток удачи
🍪 Печенька
🛑 Философский камень
Эликсир здоровья +100%
🌡 Зелье [II] +2 сил. (1-3 ч)
🌡 Зелье [II] +2 вын. (1-3 ч)
🌡 Зелье [II] +2 инт. (1-3 ч)
🌡 Зелье [II] +2 лов. (1-3 ч)
🌡 Зелье [I] +1 сил. (1-3 ч)
🌡 Зелье [I] +1 вын. (1-3 ч)
🌡 Зелье [I] +1 инт. (1-3 ч) 
🌡 Зелье [I] +1 лов. (1-3 ч)
🔖 Безопасный свиток заточки [II]
🔖 Безопасный свиток заточки [III]

Для использования: /use_epicbox","📋 Страница ресурса

💼 Торба наемника
В торбе наемника можно найти:

📐🎭 Чертеж наемника [II]
📐🎭 Чертеж экипировки [III]
📐🎭 Чертеж одноручного оружия [III]
📐🎭 Чертеж двуручного оружия [III]
🌂 Компас
🌂 Кожаный пояс
🌂 Золотые серьги
💟 Талант - Блестящие латы
💟 Талант - Закалка
💟 Талант Золотая антилопа
🍞 Корка хлеба [II] 24ч
💚 Бонус регенерации 24ч
🌟 Личный премиум 24ч
💝 Комплимент
💩 Карма
🔖 Свиток удачи
🍪 Печенька
🛑 Философский камень
Эликсир здоровья +100%
🌡 Зелье [II] +2 сил. (1-3 ч)
🌡 Зелье [II] +2 вын. (1-3 ч)
🌡 Зелье [II] +2 инт. (1-3 ч)
🌡 Зелье [II] +2 лов. (1-3 ч)
🌡 Зелье [I] +1 сил. (1-3 ч)
🌡 Зелье [I] +1 вын. (1-3 ч)
🌡 Зелье [I] +1 инт. (1-3 ч) 
🌡 Зелье [I] +1 лов. (1-3 ч)
🔖 Безопасный свиток заточки [II]
🔖 Безопасный свиток заточки [III]

Для использования: /use_epicbox"
